data number	reference number	common formula of materials	full material name	shape	structure	lattice constant a	lattice constant b	lattice constant c	lattice alpha	lattice beta	lattice gamma	Tc at pcrit or Tc at atmospheric pressure	maximum tc under pressure	applied pressure for tcmax	Critical pressure/GPa at which Tc can be observed	tc measurement method	alpha in Tc=A*M^(-alpha), isotope effect	isotope element	slope at P=0 in Tc vs P plot 	lowest temperature for measurement (not superconducting)	Hc1 at 0 K for poly crystal	Hc2 at 0 K for poly crystal	-slope in Hc2 vs T at Tc for poly crystal	coherence length at 0 K for poly crystal	penetration depth at 0 K for poly crystal	Ginzburg-Landau order parameter	energy gap at 0 K, delta(0)	method of measuring energy gap	coefficient of electronic specific heat	Debye temperature	Curie temperature	Neel temperature	figure1 file name	figure2 filename	figure description	table file name	table description	comment	figure1 data file name	f2 data file name	title	year	keyword	institute	journal	author	sample	comments
num	refno	name	fullname	shape	str	lata	latb	latc	alpha	beta	lgamma	tc	tcmax	pmax	pcrit	tcmeth	isotope	isoel	dtcdp	tcn	hc1zero	hc2zero	dhc2dt	cohere	penet	glpar	gap	gapmeth	gamma	debyet	curiet	neelt	fig1	fig2	figname	tbl	tblname	commt	f1_filename	f2_filename	title	year	keyword	institute	journal	author	sample	comments
367	PR0423935	TTF	TTF[Ni(dmit)2]2		Ni(dmit)2							2	2	0.95	0.575																							Tc = 1.91 K, dTc = 0.2 K for P=12.3 kbar. (dR/dP)/R0 = 0.33 /kbar for T=300K.			Simultaneous competition and coexistence between charge-density waves and reentrant superconductivity in the pressure-temperature phase diagram of the molecular conductor TTF [Ni(dmit)2]2 (TTF is tetrathiafulvalene and dmit is the 1,3-dithia-2-thione-4,5-dithiolato group)	1990		Laboratoire de Physique des Solides, Batiment 510, Universite Paris-Sud, 91405 Orsay, France	Phys.Rev.B, 42(1990)3935	L.Brossard,M.Ribault,L.Valade,P.Cassoux		
368	P070024517	FeCl4	beta-(BDA-TTP)2FeCl4		BDA-TTP							2	2	0.63	0.45																							resistivity along b-axis.			Pressure-dependent ground states and fermiology in beta-(BDA-TTP)2MCl4 (M=Fe,Ga)	2004		National High Magnetic Field Laboratory, Florida State University, Tallahassee, Florida 32310, USA	Phys.Rev.B, 70(2004)024517	E.S.Choi,D.Graf,J.S.Brooks,J.Yamada,H.Akutsu,K.Kikuchi,M.Tokumoto		
369	CL19921909	Me2Et2N	[Me2Et2N][Pd(dmit)2]2		Pd(dmit)2	8.218	18.422	6.277	96.76	115.7	90.09	4	4	0.24	0.23																							Me=CH3, Et=C2H5. triclinic, space-G = P1[-]. conductivity(RT) = 80 S/cm. Tc(3.8 kbar) = 3.4 K.			New molecular superconductor, [Me2Et2N][Pd(dmit)2]2	1992		Toho University,Funabashi, Chiba	Chem.Lett., (1992)1909-1912	H.Kobayashi,K.Bun,T.Naito,R.Kato,A.Kobayashi		
370	NAT4100908	FeCl4	ramda-(BETS)2FeCl4		BETS							0.85			0																		OPH370					"Field-induced SC. Tc defined as R/Rn = 0.5. M-I transition at 80 K for H = 0. Tc value shows for H//c-axis. CAN in figure represent ""canted antiferromagnetism""."	OPH370.dat		Magnetic-field-induced superconductivity in a two-dimensional organic conductor	2001		National Research Institute for Metals, Tsukuba,Ibaraki,Japan	Nature, 410(2001)908	S.Uji,H.Shinagawa,T.Terashima,T.Yakabe,Y.Terai,M.Tokumoto,A.Kobayashi,H.Tanaka,H.Kobayashi		
371	INO0302586	Cu2(CN)3	kappa-(BEDT-TTF)2Cu2(CN)3		BEDT-TTF	16.117	8.5858	13.397		113.42		2.8			0.15				-12.5																			Tc by rf-impedance.			Superconductivity at 2.8 K and 1.5 kbar in kappa-(BEDT-TTF)2Cu2(CN)3: The first organic superconducting a polymeric copper cyanide anion	1991			Inorg.Chem., 30(1991)2586	U.Geiser,H.H.Wang,K.D.Carlson,J.M.Williams,H.A.Chrlier,Jr,J.E.Heindl,G.A.Yaconi,B.J.Love,M.W.Lathrop,J.E.Schirber,D.L.Overmyer,J.Ren,M-H.Whangbo		
372	SYN0610199	AuI2	(DMET-TSeF)2AuI2		DMET-TSeF	7.799	15.869	6.74	98.16	104.49	89.48	0.58			0																							no M-I transition			Metallic and superconducting salts based on an unsymmetrical pai-donor dimethyl(ethylenedithio)tetraselenafulvalene (DMET-TSeF)	1993			Synth.Met., 61(1993)199	R.Kato,S.Aonuma,Y.Okano,H.Sawa,M.Tamura,M.Kinoshita,K.Oshima,A.Kobayashi,K.Bun,H.Kobayashi		
373	SYN0610199	AuBr2	(DMET-TSeF)2AuBr2		DMET-TSeF	7.763	15.788	6.75	101.39	104.21	91.08									2.5																		not SC. resistivity minimum at 35 K. metallic resistivity for P>8kbar			Metallic and superconducting salts based on an unsymmetrical pai-donor dimethyl(ethylenedithio)tetraselenafulvalene (DMET-TSeF)	1993			Synth.Met., 61(1993)199	R.Kato,S.Aonuma,Y.Okano,H.Sawa,M.Tamura,M.Kinoshita,K.Oshima,A.Kobayashi,K.Bun,H.Kobayashi		
374	SYN0610199	AuCl2	(DMET-TSeF)2AuCl2		DMET-TSeF	7.81	15.174	7.021	90.83	109.06	79.79									4.2																		not SC			Metallic and superconducting salts based on an unsymmetrical pai-donor dimethyl(ethylenedithio)tetraselenafulvalene (DMET-TSeF)	1993			Synth.Met., 61(1993)199	R.Kato,S.Aonuma,Y.Okano,H.Sawa,M.Tamura,M.Kinoshita,K.Oshima,A.Kobayashi,K.Bun,H.Kobayashi		
375	SYN0610199	Au(CN)2	(DMET-TSeF)2Au(CN)2		DMET-TSeF	7.805	15.402	6.759	96.02	104.76	87.91									4.2																		not SC			Metallic and superconducting salts based on an unsymmetrical pai-donor dimethyl(ethylenedithio)tetraselenafulvalene (DMET-TSeF)	1993			Synth.Met., 61(1993)199	R.Kato,S.Aonuma,Y.Okano,H.Sawa,M.Tamura,M.Kinoshita,K.Oshima,A.Kobayashi,K.Bun,H.Kobayashi		
376	SYN0610199	I2	(DMET-TSeF)2I2		DMET-TSeF	7.826	15.908	6.737	97.79	102.42	89.55									4.2																		not SC			Metallic and superconducting salts based on an unsymmetrical pai-donor dimethyl(ethylenedithio)tetraselenafulvalene (DMET-TSeF)	1993			Synth.Met., 61(1993)199	R.Kato,S.Aonuma,Y.Okano,H.Sawa,M.Tamura,M.Kinoshita,K.Oshima,A.Kobayashi,K.Bun,H.Kobayashi		
377	SYN0552927	Me2Et2N	Me2Et2N[Pd(dmit)2]2		Pd(dmit)2	8.218	18.422	6.277	96.76	115.7	90.09	4			0.24																		OTC377					CH3=Me, C2H5=Et. triclinic, P1[-]. Figure shows phase diagram.	OTC377.dat		New molecular superconductors, beta-[(CH3)4N][Pd(dmit)2]2 and [(CH3)2(C2H5)2N][Pd(dmit)2]2	1993		Department of Chemistry, Faculty of Science, The University of Tokyo, Hongo, Bunkyo-ku, Tokyo 116, Japan	Synth.Met., 55-57(1993)2927	A.Kobayashi,R.Kato,R.A.Clark,A.E.Underhill,A.Miyamoto,K.Bun,T.Naito,H.Kobayashi		
378	SYN0552927	Me4N	beta-Me4N[Pd(dmit)2]2		Pd(dmit)2	14.541	6.329	35.136		90.98		6.3			0.65																		OTC378					CH3=Me. monoclinic. Figure shows phase diagram.	OTC378.dat		New molecular superconductors, beta-[(CH3)4N][Pd(dmit)2]2 and [(CH3)2(C2H5)2N][Pd(dmit)2]2	1993		Department of Chemistry, Faculty of Science, The University of Tokyo, Hongo, Bunkyo-ku, Tokyo 116, Japan	Synth.Met., 55-57(1993)2927	A.Kobayashi,R.Kato,R.A.Clark,A.E.Underhill,A.Miyamoto,K.Bun,T.Naito,H.Kobayashi		
379	SYN027B157	TTF	alpha'-TTF[Pd(dmit)2]2		Pd(dmit)2							6.42	6.42	2.07	1.6																		OTC379					(dlogR/dP) = 0.10 /kbar. monoclinic. M-I transition at 220 K.	OTC379.dat		Pressure-temperature phase diagram of alpha'-TTF [Pd(Dmit)2]2	1988		Laboratoire de Physique des Solides, Universite Paris-Sud-91405, Orsay, France	Synth.Met., 27(1988)B157	L.Brossard,H.Hurdequint,M.Ribault,L.Valade,J.P.Legros,P.Cassoux		
380	SYN027B157	TTF	alpha'-TTF[Pd(dmit)2]2		Pd(dmit)2							5.93	5.93	2.42	1.6																							monoclinic. M-I transition at 220 K.			Pressure-temperature phase diagram of alpha'-TTF [Pd(Dmit)2]2	1988		Laboratoire de Physique des Solides, Universite Paris-Sud-91405, Orsay, France	Synth.Met., 27(1988)B157	L.Brossard,H.Hurdequint,M.Ribault,L.Valade,J.P.Legros,P.Cassoux		
381	P075054509	I3	theta-(BEDT-TTF)2I3	3	BEDT-TTF	9.929	10.075	34.2		98.268		3.6			0																							About 1/3 of measured crystals became SC below 3.6 K. space G = P2(1)/c.			Electronic properties of the organic metals  theta-(BEDT-TTF)2I3 and theta<T>-(BEDT-TTF)2I3	2007		Physikalisches Institut, Universitat Stuttgart, Pfaffenwaldring 57, 70050 Stuttgart, Germany	Phys.Rev.B, 75(2007)054509	B.Salameh,A.Nothardt,E.Balthes,W.Schmidt,D.Schweitzer,J.Strempfer,B.Hinrichsen,M.Jansen,D.K.Maude		
382	P075054509	I3	theta<T>-(BEDT-TTF)2I3	3	BEDT-TTF	9.964	10.088	34.419		97.98		5			0																							Theta-phase changes to theta<T>-phase after tempered at 70 K for 2h. All crystals are SC. Tc(on) = 7 K. space G = P2(1)/c.			Electronic properties of the organic metals  theta-(BEDT-TTF)2I3 and theta<T>-(BEDT-TTF)2I3	2007		Physikalisches Institut, Universitat Stuttgart, Pfaffenwaldring 57, 70050 Stuttgart, Germany	Phys.Rev.B, 75(2007)054509	B.Salameh,A.Nothardt,E.Balthes,W.Schmidt,D.Schweitzer,J.Strempfer,B.Hinrichsen,M.Jansen,D.K.Maude		
383	J076033704	EtMe3P	EtMe3P[Pd(dmit)2]2	3	Pd(dmit)2							4.8	5.5	0.2	0.15						4.4												OTC383	OHC383				valence bond ordering temp, T<VB> shown in Fig. Hc1(T) shown in Fig. anisotropy factor from Hc1 = 4. Et=C2H5, Me=CH3.	OTC383.dat	OHC383.dat	Magnetic Study of Pressure-Induced Superconductivity in the [Pd(dmit)2] Salt with Spin-Gapped Ground State	2007		Condensed Molecular Materials Laboratory, RIKEN, 2-1 Hirosawa, Wako, Saitama 351-1098	J.Phys.Soc.Jpn, 76(2007)033704	Y.Ishii,M.Tamura,R.Kato		
384	J076034709	PF6	beta''-(DODHT)2PF6		DODHT	5.7808	9.2199	15.784	101.222	98.469	107.27																											tricrinic. a=5.634, b=9.031, c=15.780,alpha=101.43, beta=98.23, gamma=106.39 for P=0.75 GPa.  a=5.4273, b=8.650, c=15.76,alpha=101.54, beta=97.73, gamma=104.95 for P=1.9 GPa.  P= hydrostatic pressure.			Structural Studies of Pressure-Induced Organic Superconductor beta''-(DODHT)2PF6 Having Charge-Ordering Phase at Ambient Pressure	2007		Department of Basic Science, University of Tokyo, 3-8-1 Komaba, Meguro-ku, Tokyo 153-8902	J.Phys.Soc.Jpn, 76(2007)034709	M.Higa,R.Kondo,S.Kagoshima,H.Nishikawa		
385	ASP3020205	TTF	TTF[Ni(dmit)2]2		Ni(dmit)2	46.22	3.732	22.86		119.29		1.62			0.7																							(dTc) = 0.57 K. space-G = C2/c.			Physique de la matiere condensee (chimie de coordination). - Un nouveau type de supraconducteur moleculaire: TTF[Ni(dmit)2]2	1986			C.R.Acad.Sci.Paris,Ser.II 302(1986)205	L.Brossard,M.Ribault,M.Bousseau,L.Valade,P.Cassoux		
386	EP07837005	TTF	TTF[Ni(dmit)2]2		Ni(dmit)2							0.8			0.77																							Film. films were electrodeposited on (001)Si plate. fiber-like morphology(a-c in plane). Tc defined as Tc(on). R(0.08K)/R(Tc) = 0.935.			Superconductivity in TTF[Ni(dmit)2]2 films	2007		Laboratoire de Chimie de Coordination, UPR CNRS 8241 - 205 route de Narbonne, F-31077 Toulouse, France	Europhys.Lett., 78(2007)37005	J.-P.Savy,D.de Caro,L.Valade,J.-P.Legros,P.Auban-Senzier,C.R.Pasquier,J.Fraxedas,F.Senocq		
387	J076053703	AsF6	(TMTTF)2AsF6	3	TMTTF							2.3			4.5																							SC region: 0.45=< SC =<5.0 GPa. For P = 0, spin-peiels state and MI transition T<MI> = 140 K. Crystals grown by electro-crystallization method.			Pressure-Induced Superconductivity in the Quasi-One-Dimensional Organic Conductor (TMTTF)2AsF6	2007		Institute for Solid State Physics, The University of Tokyo, 5-1-5 Kashiwanoha, Kashiwa, Chiba 277-8581	J.Phys.Soc.Jpn, 76(2007)053703	M.Itoi,M.Kano,N.Kurita,M.Hedo,Y.Uwatoko,T.Nakamura		
388	CC20042454	PF6	beta-(meso-DMBETT-TTF)2PF6		DMBETT-TTF	9.115	15.649	6.737	90.84	109.37	88.87	3.8			0.4																							space-G = P1[-]. XRD at 293 K. formula = C24H24F6PS16. molar weight = 970.38. MI transition T<MI> = 90 K. Tc(on) = 4.3 K at P=4.0 kbar.			A new organic superconductor beta-(meso-DMBEDT-TTF)2PF6	2004		The Institute for Solid State Physics, The University of Tokyo, Kashiwa, Chiba 277-8581, Japan.	Chem.Commun., (2004)2454-2455	S.Kimura,T.Maejima,H.Suzuki,R.Chiba,H.Mori,T.Kawamoto,T.Mori,H.Moriyama,Y.Nishio,K.Kajita		
389	L088207002	PF6	(TMTSF)2PF6	3	TMTSF							1.18			0.55																		OHC389					Hc2(T) for H//c was measured. penet = 100 um for H//c is refered from SSC0450767.	OHC389.dat		Critical Field Enhancement near a Superconductor-Insulator Transition	2002		Department of Physics, Princeton University, Princeton, New Jersey 08544	Phys.Rev.Lett., 88(2002)207002	I.J.Lee,P.M.Chaikin,M.J.Naughton		
390	CC20061331	I3	beta-(BDA-TTP)2I3	3	BDA-TTP	9.246	16.792	6.495	95.263	106.576	95.766	10.5			1																							Tc defined as Tc(on) resistively. SC confirmed by SUS. activation energy = 54 meV.  hydrostatic pressure. space-G = P1[-]. molar weight = 1206.13. formula = C24H24I3S16.			Pressure effect on the electrical conductivity and superconductivity of beta-(BDA-TTP)2I3	2006		Department of Material Science, Graduate School of Material Science, University of Hyogo, 3-2-1 Kouto, Kamigori-cho, Ako-gun, Hyogo, Japan	Chem. Commun., (2006)1331	J.Yamada,K.Fujimoto,H.Akutsu,S.Nakatsuji,A.Miyazaki,M.Aimatsu,S.Kudo,T.Enoki,K.Kikuchi		
391	L096177002	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(SCN)2	3	BEDT-TTF							10.5			0																		OTC391					Defects created at RT by Cu-K<alpha> radiation, flux = 2.5 E+8 photon/s. Figure shows Tc vs residual resistivity( radiation effect)	OTC391.dat		Effect of Irradiation-Induced Disorder on the Conductivity and Critical Temperature of the Organic Superconductor  kappa-(BEDT-TTF)2Cu(SCN)2	2006		Department of Physics, Clarendon Laboratory, University of Oxford, Parks Road, Oxford OX1 3PU, United Kingdom	Phys.Rev.Lett., 96(2006)177002	J.G.Analytis,A.Ardavan,S.J.Blundell,R.L.Owen,E.F.Garman,C.Jeynes,B.J.Powell		
392	JPP0501521	TTF	alpha'-TTF(Pd(dmit)2)2	3	Pd(dmit)2	46.794	3.608	23.109	90	119.55	90	6.53	6.53	2.07	1.6							0.102	0.0217										OHC392					SC properties for P = 2.07 GPa. H // a-axis.	OHC392.dat		Pressure induced superconductivity in molecular TTF(Pd(dmit)2)2	1989			J.Phys.France, 50(1989)1521	L.Brossard,M.Ribault,L.Valade,P.Cassoux		
393	JPI0041539	Br	(TMTTF)2Br	3	TMTTF							0.8			2.6																	15						Tc defined as R/Rn = 0.5. dTc = 0.4 K. Tc(on) = 1.0 K.  SDW transition at 15 K(P=AP) and 4 K (P=24 kbar).			Superconductivity and magnetic field induced spin density waves in the (TMTTF)2X family	1994			J.Phys.I France, 4(1994)1539	L.Balicas,K.Behnia,W.Kang,E.Canadell,P.Auban-Senzier,D.Jerome,M.Ribault,J.M.Fabre		
394	MOL2960217	Me4Sb	beta'-Me4Sb[Pd(dmit)2]2	3	Pd(dmit)2	14.356	6.404	36.893		97.54																												not SC under (P=15 kbar, T=9 K or P=9.7 kbar, T=3 K). Me = CH3. space-G = C2/c.			Se-substitution and cation effects on the high-pressure molecular superconductor, beta-Me4N[Pd(dmit)2]2  - A unique two-band system -	1997		The Institute for Solid State Physics, The University of Tokyo, Japan	Mol.Cryst.Liq.Cryst., 296(1997)217	R.Kato,Y.L. Liu,Y.Kobayashi,S.Aonuma		
395	MAT0303315	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2	3	BEDT-TTF							10.4			0							30											OHC395					Hc2=30 (TBL value) and 5 T for H// and H/n  to conduction plane at T = 90 mK . Figure shows Hc2(T) at P = 1.75 GPa. paramagnetic limit Hc2 = 18 T.	OHC395.dat		Critical field and Shubnikov-de Haas oscillations of kappa-(BEDT-TTF)2Cu(NCS)2under pressure	2003		Department of Physics, Clark University, 950 Main St., Worcester, MA 01610	cond. mat., 0303315(2003)	C.Martin,C.C.Agosta,S.W.Tozer,H.A.Radovan,T.Kinoshita,M.Tokumoto		
396	JP012L641	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2	3	BEDT-TTF							10.4			0							35											OHC396					Figure shows phase diagram Hc2(T),mixed state, FFLO state.	OHC396.dat		Observation of the Fulde-Ferrell-Larkin-Ovchinnikov state in the quasi-two-dimensional organic superconductor kappa-(BEDT-TTF)2Cu(NCS)2 (BEDT-TTF = bis(ethylene-dithio)tetrathiafulvalene)	2000		Department of Physics, University of Oxford, The Clarendon Laboratory, Parks Road, Oxford OX1 3PU, UK	J.Phys.:Condens.Matter, 12(2000)L641	J.Singleton,J.A.Symington,M-S.Nam,A.Ardavan,M.Kurmoo,P.Day		
397	SUP0120497	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2	3	BEDT-TTF							9.4			0							5.2											OHC397					Hc2 measured by microwave, thermal conductivity, and resistivity.	OHC397.dat		Probing the Upper Critical Field of kappa-(BEDT-TTF)2Cu(NCS)2	1999		Laboratoire de Physique des Solides (CNRS), Universite Paris- Sud, F-91405 Orsay, France	J.Supercond., 12(1999)497	S.Belin,T.Shibauchi,K.Behnia,T.Tamegai		
398	SUP0120501	NH4Hg(SCN)4	alpha-(BEDT-TTF)2NH4Hg(SCN)4	3	BEDT-TTF							1.3			0							5.5											OHC398					Prepared by electro chemical method(1.5*0.8*0.5 mm3). Hc2 measured for H//a and defined as R(on).	OHC398.dat		Superconducting State of the Two-Dimensional Superconductor alpha-(ET)2NH4Hg(SCN)4 Under the Magnetic Field Parallel to the Conducting Plane	1999		Department of Physics, Kyoto University, Kyoto 606-8502, Japan	J.Supercond., 12(1999)501	Y.Shimojo,H.Ito,T.Ishiguro,T.Kondo,G.Saito		
399	SUP0120511	GaCl4	ramda-(BETS)2GaCl4	3	BETS							6.2			0							14	2.8	104									OHC399					Tc, Hc2 defined as R/Rn = 0.5. Hc2(0) = 14, 3.5, 12.3 T and (dHc2/dT) = 2.8, 0.36, 2.8 T/K for a*-, b*-, c-axis , respectively. cohere<a> = 104, <b>=26, <c>=91 A estimated from Hc2(0).	OHC399.dat		Anisotropy of the Upper Critical Field of the Organic Superconductor ramda-(BETS)2GaCl4	1999		Department of Physics, Kyoto University, Kitashirakawa, Sakyoku, Kyoto 606-8502, Japan	J.Supercond., 12(1999)511	M.A.Tanatar,T.Ishiguro,H.Tanaka,A.Kobayashi,H.Kobayashi		
400	PR04104808	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2	3	BEDT-TTF							9.4			0								16						36									Hc2 measured by SP-heat. -(dHc2/dT) = 0.75 T/K for H//a and = 16 T/K for H//b-c plane. (dC/gamma*Tc) = 1.50.			Specific heat of superconducting  kappa-(BEDT-TTF)2Cu(NCS)2 near Tc [where BEDT-TTF is bis(ethylenedithio)tetrathiafulvalene]	1990		AT&T Bell Laboratories, Murray Hill, New Jersey 07974	Phys.Rev.B, 41(1990)4808	J.E.Graebner,R.C.Haddon,S.V.Chichester,S.H.Glarum		
401	P076054509	Cu[N(CN)2]Br	kappa-(BEDT-TTF)2Cu[N(CN)2]Br	3	BEDT-TTF							11.9			0																							sound velocity, ultrasonic attenuation were measured.			Competition between magnetism and superconductivity in the organic metal kappa-[BEDT-TTF]2Cu[N(CN)2]Br	2007		Regroupement Quebecois sur les Materiaux de Pointe, Departement de Physique, Universite de Sherbrooke, Sherbrooke, Quebec, Canada	Phys.Rev.B, 76(2007)054509	D.Fournier,M.Poirier,K.D.Truong		
402	J076113709	Hg2.89Br8	kappa-(BEDT-TTF)4Hg2.89Br8	3	BEDT-TTF							4.1			0																		OTC402					single crystal by electrochemical mathod. Hydrostatic P upto 3.3 GPa. I// and /* to plane, measured.  Figure shows Tc(P) as the same symbol for all samples	OTC402.dat		Anomalous Pressure Dependence of Superconductivity in Layered Organic Conductor, kappa-(BEDT-TTF)4Hg2:89Br8	2007		Department of Physics, Faculty of Science, Saitama University, Saitama 338-8570	J.Phys.Soc.Jpn, 76(2007)113709	H.Taniguchi,T.Okuhata,T.Nagai,K.Satoh,N.Mori,Y.Shimizu,M.Hedo,Y.Uwatoko		
403	SSC0870589	Cu[N(CN)2](Cl,Br)	kappa-(BEDT-TTF)2Cu[N(CN)2]Cl0.85Br0.15	3	BEDT-TTF							12.8	12.8	0.02	0.008																		OTC403						OTC403.dat		Pressure effect on superconductivity in the organic crystal family  kappa-(BEDT-TTF)2Cu[N(CN)2]Cl1-xBrx	1993		Walther-Meissner-Institute for low-temperature Research, W-8046 Garching, Germany	Solid State Commun., 87(1993)589	Yu.V.Sushko,K.Andres,N.D.Kusch,E.B.Yagubskii		
404	SSC0870589	Cu[N(CN)2](Cl,Br)	kappa-(BEDT-TTF)2Cu[N(CN)2]Cl0.8Br0.2	3	BEDT-TTF							13	13	0.025	0																		OTC404						OTC404.dat		Pressure effect on superconductivity in the organic crystal family  kappa-(BEDT-TTF)2Cu[N(CN)2]Cl1-xBrx	1993		Walther-Meissner-Institute for low-temperature Research, W-8046 Garching, Germany	Solid State Commun., 87(1993)589	Yu.V.Sushko,K.Andres,N.D.Kusch,E.B.Yagubskii		
405	SSC0870589	Cu[N(CN)2](Cl,Br)	kappa-(BEDT-TTF)2Cu[N(CN)2]Cl0.7Br0.3	3	BEDT-TTF																												OTC405						OTC405.dat		Pressure effect on superconductivity in the organic crystal family  kappa-(BEDT-TTF)2Cu[N(CN)2]Cl1-xBrx	1993		Walther-Meissner-Institute for low-temperature Research, W-8046 Garching, Germany	Solid State Commun., 87(1993)589	Yu.V.Sushko,K.Andres,N.D.Kusch,E.B.Yagubskii		
406	SSC0870589	Cu[N(CN)2]Br	kappa-(BEDT-TTF)2Cu[N(CN)2]Br	3	BEDT-TTF																												OTC406						OTC406.dat		Pressure effect on superconductivity in the organic crystal family  kappa-(BEDT-TTF)2Cu[N(CN)2]Cl1-xBrx	1993		Walther-Meissner-Institute for low-temperature Research, W-8046 Garching, Germany	Solid State Commun., 87(1993)589	Yu.V.Sushko,K.Andres,N.D.Kusch,E.B.Yagubskii		
407	L099057001	Cu[N(CN)2]Br	kappa-(BEDT-TTF)2Cu[N(CN)2]Br	3	BEDT-TTF							12.25			0														28									SP-heat using long relaxation method. gamma is saturated value for high magnetic field (P>8T). alpha=1.7 (d-wave alpha-model)			Specific-Heat Measurements of the Gap Structure of the Organic Superconductors kappa-(ET)2Cu[N(CN)2]Br and kappa-(ET)2Cu(NCS)2	2007		H. H. Wills Physics Laboratory, University of Bristol, Tyndall Avenue, Bristol, United Kingdom.	Phys.Rev.Lett., 99(2007)057001	O.J.Taylor,A.Carrington,J.A.Schlueter		
408	L099057001	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2		BEDT-TTF							9.56			0														35									SP-heat using long relaxation method. gamma is saturated value for high magnetic field (P > 3T). alpha=1.4 (d-wave alpha-model).			Specific-Heat Measurements of the Gap Structure of the Organic Superconductors kappa-(ET)2Cu[N(CN)2]Br and kappa-(ET)2Cu(NCS)2	2007		H. H. Wills Physics Laboratory, University of Bristol, Tyndall Avenue, Bristol, United Kingdom.	Phys.Rev.Lett., 99(2007)057001	O.J.Taylor,A.Carrington,J.A.Schlueter		
409	PLA1200087	TTF	TTF[Ni(dmit)2]2	3	Ni(dmit)2							1.62	1.62	0.7	0.3																		OTC409					Tc defined as onset of ESR.	OTC409.dat		EFFECT OF PRESSURE ON THE SUPERCONDUCTING TRANSITION TEMPERATURE OF TETRATHIOFULVALENE BIS- [ BIS- (4,5-DIMERCAPTO 1,3-DITHIOL-2-THIONE) NICKEL (II)] (TTF[Ni(DMIT)2]2)	1987		Sandia National Laboratories, Albuquerque, NM 87185, USA	Phys.Lett. A, 120(1987)87	J.E. SCHIRBER,D.L. OVERMYER,Jack M. WILLIAMS,H.H. WANG,Lydie VALADE,Patrick CASSOUX		
410	SYN0700839	NH4Hg(SCN)4	alpha-(BEDT-TTF)2NH4Hg(SCN)4	3	BEDT-TTF							1.2			0																		OHC410					anisotyopy (Hc2) = 25 (low temp),  = 100 (near Tc).	OHC410.dat		Anisotropic Hc2, Shubnikov de Haas, and angular dependent magnetoresistance in the organic superconductor a-(BEDT-TTF)2MHg(SCN)4	1995		Department of Physics, Boston University, Boston, MA	Synth.Met., 70(1995)839	J.S.Brooks,S.Uji,H.Aoki,T.Terashima,M.Tokumoto,N.Kinoshita,Y.Tanaka,H.Anzai		
411	J075074606	AuI2	(MDT-TSF)(AuI2)0.436		MDT-TSF							4.5			0														8.9												Thermodynamic Study of an Incommensurate Organic Superconductor (MDT-TSF)(AuI2)0.436	2006		Department of Chemistry, Graduate School of Science and Engineering, Tokyo Institute of Technology, 2-12-1 Ookayama, Meguro, Tokyo 152-8551	J.Phys.Soc.Jpn, 75(2006)074606	Tetsushi ISHIKAWA,Yasuhiro NAKAZAWA,Satoshi YAMASHITA,Masaharu OGUNI,Kazuya SAITO,Kazuo TAKIMIYA,Tetsuo OTSUBO		
412	L100117002	ClO4	(TMTSF)2ClO4	3	TMTSF							1.45			0																		OHC412					Hc2, Tc from resistivity measurements	OHC412.dat		Anomalous In-Plane Anisotropy of the Onset of Superconductivity in (TMTSF)2ClO4	2008		Department of Physics, Graduate School of Science, Kyoto University, Kyoto 606-8502, Japan	Phys.Rev.Lett., 100(2008)117002	Shingo Yonezawa,S. Kusaba,Y. Maeno,P. Auban-Senzier,C. Pasquier,K. Bechgaard,D. Jerome		
413	J077024714	PF6	beta-(meso-DMBEDT-TTF)2PF6	3	DMBEDT-TTF							4.3	4.3		0.3																		OTC413					Tc defined as R(onset).	OTC413.dat		Infrared and Raman Study of the Charge-Ordered State in the Vicinity of the Superconducting State in the Organic Conductor  beta-(meso-DMBEDT-TTF)2PF6	2008		Institute for Molecular Science and Graduate University for Advanced Studies, Okazaki, Aichi 444-8585	J.Phys.Soc.Jpn, 77(2008)024714	Masayuki TANAKA,Kaoru YAMAMOTO,Mikio URUICHI,Takashi YAMAMOTO,Kyuya YAKUSHI,Shinya KIMURA,Hatsumi MORI		
414	J077023701	SbF6	(TMTTF)2SbF6		TMTTF							2.3	2.72	9	5.4																		OTC414						OTC414.dat		Anomalously Wide Superconducting Phase of One-Dimensional Organic Conductor (TMTTF)2SbF6	2008		Institute for Solid State Physics, The University of Tokyo, Kashiwa, Chiba 277-8581	J.Phys.Soc.Jpn, 77(2008)023701	Miho ITOI,Chieko ARAKI,Masato HEDO,Yoshiya UWATOKO,Toshikazu NAKAMURA		
